Listing_ID;Last_scraped;Source;Host_ID;Host_since;host_location;Aux.;Host_Location2;Host_response_time;Host_response_rate;Host_response_rate_num;Host_acceptance_rate;Host_acceptance_rate_num;host_is_superhost;Superhost;Superhost2;Host_listings_count;Host_total_listings_count;host_verifications;Host_verification;Host_identity_verified;Host_identity_verified2;Neighbourhood_group_cleansed;Property_type;Room_type;Num. Accommodates;Bathrooms_initial;Num. Bathrooms;Bathrooms_text;Shared_bathrooms;Bedrooms_initial;Beds_initial;Price;Price_€;minimum_nights;minimum_night_category;maximum_nights;maximum_nights_category;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;anual_availability;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;availability_eoy;number_of_reviews_ly;first_review;last_review;review_scores_rating_ininitial;Review_scores_rating2;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;Instant_bookable2;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
21853;11/03/2025;city scrape;83531;21/02/2010;Madrid, Spain;1;Spain;N/A;N/A;;0%;0,00;f;f;False;2;2;email, phone;email, phone;t;True;Latina;Private room in rental unit;Private room;1;10;1;1 bath;Private;1;1;$29.00;29,00;4;Short stay;40;Medium stay (up to 3 months);4;4;40;40;40;400;;t;0;0;0;233;High availability;11/03/2025;33;0;0;164;0;10/10/2014;15/07/2018;458;4,58;472;456;475;482;421;467;f;False;2;0;2;0;26
30320;10/03/2025;previous scrape;130907;24/05/2010;Madrid, Spain;1;Spain;N/A;N/A;;N/A;;f;f;False;3;6;email, phone;email, phone;f;False;Centro;Entire rental unit;Entire home/apt;2;;0;1 bath;Private;1;;;;5;Short stay;180;Long stay (up to 1 year);5;5;180;180;50;1800;;;0;0;0;0;Not available;10/03/2025;172;0;0;0;0;06/07/2010;26/09/2022;463;4,63;471;488;482;478;49;469;f;False;3;3;0;0;96
30959;10/03/2025;previous scrape;132883;26/05/2010;Madrid, Spain;1;Spain;N/A;N/A;;N/A;;f;f;False;1;4;email, phone;email, phone;f;False;Centro;Entire loft;Entire home/apt;2;;0;1 bath;Private;1;;;;3;Very short stay;730;No real limit;3;3;730;730;30;7300;;;0;0;0;0;Not available;10/03/2025;8;0;0;0;0;12/05/2015;30/05/2017;438;4,38;414;438;463;463;488;425;f;False;1;1;0;0;7
40916;10/03/2025;previous scrape;130907;24/05/2010;Madrid, Spain;1;Spain;N/A;N/A;;N/A;;f;f;False;3;6;email, phone;email, phone;f;False;Centro;Entire rental unit;Entire home/apt;3;;0;1 bath;Private;1;;;;5;Short stay;180;Long stay (up to 1 year);5;5;180;180;50;1800;;;0;0;0;0;Not available;10/03/2025;49;0;0;0;0;01/11/2010;11/12/2021;465;4,65;469;49;485;479;488;455;f;False;3;3;0;0;28
62423;12/03/2025;city scrape;303845;29/11/2010;Madrid, Spain;1;Spain;within an hour;100%;1,00;100%;1,00;f;f;False;3;3;email, phone;email, phone;t;True;Centro;Private room in rental unit;Private room;4;15;1,5;1.5 shared baths;Shared;1;2;$77.00;77,00;1;Very short stay;30;Medium stay (up to 3 months);1;1;30;30;10;300;;t;12;21;37;298;High availability;12/03/2025;227;46;2;228;45;10/05/2018;20/02/2025;464;4,64;478;443;48;485;497;458;f;False;3;1;2;0;273
70059;06/03/2025;city scrape;353616;19/01/2011;Madrid, Spain;1;Spain;within a few hours;100%;1,00;100%;1,00;f;f;False;1;2;email, phone;email, phone;t;True;Centro;Entire rental unit;Entire home/apt;2;10;1;1 bath;Private;1;1;$66.00;66,00;15;Long stay;365;Long stay (up to 1 year);5;15;365;365;149;3650;;t;16;17;28;54;Low availability;06/03/2025;61;0;0;54;0;23/02/2011;19/12/2022;468;4,68;475;475;485;49;495;453;f;False;1;1;0;0;36
70310;06/03/2025;city scrape;353738;19/01/2011;Madrid, Spain;1;Spain;within an hour;100%;1,00;100%;1,00;f;f;False;4;29;email, phone, work_email;email, phone, work_email;t;True;Centro;Entire rental unit;Entire home/apt;2;10;1;1 bath;Private;1;2;$89.00;89,00;30;Montly rental;360;Long stay (up to 1 year);7;30;1125;1125;264;11250;;t;25;41;41;289;High availability;06/03/2025;29;0;0;225;0;03/05/2011;18/11/2023;436;4,36;462;452;482;469;486;411;f;False;3;3;0;0;17
72150;12/03/2025;city scrape;364585;27/01/2011;Madrid, Spain;1;Spain;within an hour;100%;1,00;96%;0,96;;d;Unknown;5;8;email, phone;email, phone;t;True;Centro;Entire rental unit;Entire home/apt;6;10;1;1 bath;Private;3;5;$173.00;173,00;3;Very short stay;180;Long stay (up to 1 year);2;4;180;180;23;1800;;t;20;50;77;163;Medium availability;12/03/2025;126;17;2;163;14;13/02/2011;02/03/2025;461;4,61;462;44;486;485;485;447;f;False;4;4;0;0;74
82481;12/03/2025;previous scrape;448981;18/03/2011;Madrid, Spain;1;Spain;N/A;N/A;;N/A;;f;f;False;1;2;email, phone;email, phone;t;True;Salamanca;Entire rental unit;Entire home/apt;2;;0;1 bath;Private;1;;;;3;Very short stay;365;Long stay (up to 1 year);3;3;365;365;30;3650;;t;0;0;0;0;Not available;12/03/2025;105;0;0;0;0;08/05/2011;29/11/2017;478;4,78;469;496;497;496;495;469;f;False;1;1;0;0;62
84719;08/03/2025;city scrape;259229;11/10/2010;Madrid, Spain;1;Spain;N/A;N/A;;100%;1,00;f;f;False;1;1;email, phone;email, phone;t;True;Centro;Entire rental unit;Entire home/apt;2;10;1;1 bath;Private;1;1;$72.00;72,00;7;Short stay;1125;No real limit;7;7;1125;1125;70;11250;;t;14;17;23;53;Low availability;08/03/2025;184;0;0;53;0;07/05/2011;29/09/2021;468;4,68;478;487;482;485;444;469;f;False;1;1;0;0;109
